id,name_en,name_ar,description_en,description_ar,category_en,category_ar
8228,Calone® 10% (Firmenich) (DPG),Calone® 10% (Firmenich) (DPG),Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
8543,Camphene (Natural)***,Camphene (Natural)***,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
8494,Camphor**,Camphor**,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
6297,Cantaloupe Fragrance Oil **,Cantaloupe Fragrance Oil **,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
8285,Canthoxal,Canthoxal,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
6298,Caramel Fragrance Oil,Caramel Fragrance Oil,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
9645,Caraway Oil - Multi Origin **,Caraway Oil - Multi Origin **,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
6058,Carbinol Muguet,Carbinol Muguet,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
8305,Cardamom (Guatemala)**,Cardamom (Guatemala)**,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
9425,Cardamom Aldehyde (Bedoukian),Cardamom Aldehyde (Bedoukian),Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
8483,Carene-3 Delta (Natural) **,Carene-3 Delta (Natural) **,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
5938,Carnation - Key Accord,Carnation - Key Accord,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
9762,Carnation Essence **,Carnation Essence **,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
6299,Carnation Fragrance Oil,Carnation Fragrance Oil,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
6417,Carrot Seed - India,Carrot Seed - India,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
8511,Carvacrol FCC,Carvacrol FCC,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
8490,Carvone-D (Natural),Carvone-D (Natural),Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
9903,Carvone-L (Natural),Carvone-L (Natural),Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
8488,Caryophyllene Acetate,Caryophyllene Acetate,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
8629,Caryophyllene Beta (Natural),Caryophyllene Beta (Natural),Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
6925,Caryophyllene oxide - 1% in PG,Caryophyllene oxide - 1% in PG,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
8426,Caryophyllene Oxide (Crystals),Caryophyllene Oxide (Crystals),Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
9518,Cascalone® (Firmenich),Cascalone® (Firmenich),Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
10072,Cascarilla Bark Oil **,Cascarilla Bark Oil **,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
6022,Cashmeran® (IFF) **,Cashmeran® (IFF) **,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
6419,Cassia - China,Cassia - China,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
9328,Cassie Absolute (Egyptian),خلاصة Cassie  (Egyptian) مطلقة,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
8056,Cassiffix® (IFF) **,Cassiffix® (IFF) **,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
9369,Cassione 921189 (Firmenich) Crystals,Cassione 921189 (Firmenich) Crystals,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
6301,Cassis (Black Currant) Fragrance Oil**,Cassis (Black Currant) Fragrance Oil**,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
9700,Cassis 345B (Firmenich) **,Cassis 345B (Firmenich) **,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
5939,Cassis Givco 149/2,Cassis Givco 149/2,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
9548,Castoreum Absolute,خلاصة القندس (كاستوريوم) مطلقة,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
5940,Castoreum Blend (50% BB) **,Castoreum Blend (50% BB) **,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
8460,Castoreum Blend (Natural)**,Castoreum Blend (Natural)**,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
9746,Castoreum Givco 116/6 (Synthetic),Castoreum Givco 116/6 (Synthetic),Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
6302,Cedar Fragrance Oil,Cedar Fragrance Oil,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
8320,Cedar Fragrance Oil (Premium),Cedar Fragrance Oil (Premium),Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
8427,Cedar Leaf (Red) Western**,Cedar Leaf (Red) Western**,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
9362,Cedarmoss (Synarome) **,Cedarmoss (Synarome) **,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
9471,Cedarwood (China) **,Cedarwood (China) **,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
9202,Cedarwood (Texas) **,Cedarwood (Texas) **,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
8021,Cedarwood Atlas Oil P&N**,Cedarwood Atlas Oil P&N**,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
9477,Cedarwood Terpenes,Cedarwood Terpenes,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
6421,Cedarwood Virginia **,Cedarwood Virginia **,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
9810,Cedrat Heart (Natural) **,Cedrat Heart (Natural) **,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
9345,Cedrene **,Cedrene **,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
6024,Cedrol crystals **,Cedrol crystals **,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
8520,Cedroxyde® (Firmenich),Cedroxyde® (Firmenich),Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
6025,Cedryl Acetate (EOA)**,Cedryl Acetate (EOA)**,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
6023,Cedryl Methyl Ether,Cedryl Methyl Ether,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
6424,Celery Seed - India **,Celery Seed - India **,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
6026,Celestolide (crystals) (IFF),Celestolide (crystals) (IFF),Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
6027,Cetalox® (Firmenich) (crystals),Cetalox® (Firmenich) (crystals),Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
8229,Cetalox® 10% (Firmenich) (DPG),Cetalox® 10% (Firmenich) (DPG),Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
9301,Cetylia Base (Firmenich) **,Cetylia Base (Firmenich) **,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
9811,Chamomile (Roman) **,Chamomile (Roman) **,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
8288,Cherry Blossom Fragrance Oil,Cherry Blossom Fragrance Oil,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
